group,sample_size,median_rr,method
Group1,0.05,0.5245901639344263,JIVE
Group1,0.1,0.5737704918032787,JIVE
Group1,0.15000000000000002,0.6229508196721312,JIVE
Group1,0.2,0.6065573770491803,JIVE
Group1,0.25,0.639344262295082,JIVE
Group2,0.05,0.5862068965517241,JIVE
Group2,0.1,0.6896551724137931,JIVE
Group2,0.15000000000000002,0.6896551724137931,JIVE
Group2,0.2,0.7241379310344828,JIVE
Group2,0.25,0.7241379310344828,JIVE
Group3,0.1,0.12,JIVE
Group3,0.15000000000000002,0.16,JIVE
Group3,0.2,0.16,JIVE
Group3,0.25,0.2,JIVE
