Structure,Batch1,Batch2,JointRank,Indiv1Rank,Indiv2Rank
Joint,0.596,0.878,1,15,14
Individual,0.376,0.005,1,15,14
Residual,0.029,0.118,1,15,14
Joint,0.735,0.956,2,15,14
Individual,0.237,0.004,2,15,14
Residual,0.028,0.039,2,15,14
Joint,0.753,0.972,3,15,14
Individual,0.22,0.004,3,15,14
Residual,0.026,0.023,3,15,14
Joint,0.876,0.979,4,15,14
Individual,0.099,0.004,4,15,14
Residual,0.025,0.017,4,15,14
Joint,0.923,0.983,5,15,14
Individual,0.053,0.004,5,15,14
Residual,0.024,0.013,5,15,14
Joint,0.926,0.986,6,15,14
Individual,0.051,0.003,6,15,14
Residual,0.023,0.011,6,15,14
Joint,0.933,0.988,7,15,14
Individual,0.045,0.002,7,15,14
Residual,0.022,0.01,7,15,14
Joint,0.935,0.989,8,15,14
Individual,0.044,0.002,8,15,14
Residual,0.021,0.009,8,15,14
Joint,0.939,0.991,9,15,14
Individual,0.041,0.002,9,15,14
Residual,0.021,0.007,9,15,14
Joint,0.945,0.992,10,15,14
Individual,0.035,0.002,10,15,14
Residual,0.02,0.006,10,15,14
