group,sample_size,median_rr,method
Group1,0.05,0.7704918032786885,Seurat
Group1,0.1,0.9508196721311475,Seurat
Group1,0.15000000000000002,0.9672131147540983,Seurat
Group1,0.2,0.9836065573770492,Seurat
Group1,0.25,0.9836065573770492,Seurat
Group2,0.05,0.5517241379310345,Seurat
Group2,0.1,0.8103448275862069,Seurat
Group2,0.15000000000000002,0.8620689655172413,Seurat
Group2,0.2,0.8620689655172413,Seurat
Group2,0.25,0.896551724137931,Seurat
Group3,0.1,0.08,Seurat
Group3,0.15000000000000002,0.2,Seurat
Group3,0.2,0.24,Seurat
Group3,0.25,0.28,Seurat
