Method,Label,Mean
Harmony,Batch,2.6267708875239772e-5
Harmony,Batch,-2.4207109732072058e-4
Harmony,Batch,-6.509862214525122e-4
Harmony,Batch,-4.689568961428903e-4
Harmony,Batch,-4.531567500647427e-4
Harmony,Batch,-3.7472956869098083e-4
Harmony,Batch,3.5902639025650493e-4
Harmony,Batch,3.809037513717432e-4
Harmony,Batch,4.659749793065132e-5
Harmony,Batch,2.2327771541215204e-4
Harmony,Batch,-1.4561452015526195e-4
Harmony,Batch,-3.3480579463132e-4
Harmony,Batch,-4.5716376579223715e-4
Harmony,Batch,-0.0010116779243994785
Harmony,Batch,-4.8812173897069567e-4
Harmony,Batch,-8.836263578973201e-5
Harmony,Batch,-1.1681765441872841e-4
Harmony,Batch,-0.0010371664358314635
Harmony,Batch,2.1685707700356104e-4
Harmony,Batch,-5.351560154028694e-4
Harmony,Cluster,6.990808504248825e-4
Harmony,Cluster,-0.005545223636194734
Harmony,Cluster,0.005355607755080304
Harmony,Cluster,6.483071461995301e-4
Harmony,Cluster,1.43633694009438e-4
Harmony,Cluster,0.00422230904940908
Harmony,Cluster,8.407674443021133e-4
Harmony,Cluster,-0.009373850583778078
Harmony,Cluster,-9.742118550661036e-4
Harmony,Cluster,0.0032204213923388387
Harmony,Cluster,0.0022245071668542606
Harmony,Cluster,0.002104904294857532
Harmony,Cluster,6.13801543146295e-4
Harmony,Cluster,-0.0014041989440932545
Harmony,Cluster,0.0013122140999788793
Harmony,Cluster,0.0027065362691801845
Harmony,Cluster,0.002933924986948246
Harmony,Cluster,0.002388370551533195
Harmony,Cluster,0.003156969965724646
Harmony,Cluster,0.004466931140468027
