Label,LISI,Method
Batch,1.5904494536102791,Harmony
Cluster,2.039491880400393,Harmony
Batch,1.1455771487921167,Harmony
Cluster,2.0220966434488252,Harmony
Batch,1.4217897576756575,Harmony
Cluster,2.7465998216696774,Harmony
Batch,1.8733119982626,Harmony
Cluster,1.1734745237035773,Harmony
Batch,1.7239939422076416,Harmony
Cluster,1.8172912381574982,Harmony
Batch,1.7905495908987847,Harmony
Cluster,1.0749090596692814,Harmony
Batch,1.5386799234902473,Harmony
Cluster,1.0145047633691853,Harmony
Batch,1.2926501334121405,Harmony
Cluster,1.1386427265704129,Harmony
Batch,1.3443381186792855,Harmony
Cluster,2.4374570286745008,Harmony
Batch,1.4543255043075805,Harmony
Cluster,3.127370630738077,Harmony
Batch,1.5620111980595355,Harmony
Cluster,1.946027496245759,Harmony
Batch,1.948555464722085,Harmony
Cluster,1.8928088878342857,Harmony
Batch,1.666672188393025,Harmony
Cluster,2.774875253677054,Harmony
Batch,1.9015125086562643,Harmony
Cluster,1.3470373244534621,Harmony
Batch,1.5189528364233764,Harmony
Cluster,1.2463896653147701,Harmony
Batch,1.706706316025281,Harmony
Cluster,1.8755370976117849,Harmony
Batch,1.2327252506803053,Harmony
Cluster,1.9584471665098406,Harmony
Batch,1.9000876727920593,Harmony
Cluster,1.0758146338394616,Harmony
Batch,1.990950471101685,Harmony
Cluster,2.1398063276058075,Harmony
Batch,1.606685899261052,Harmony
Cluster,1.184719003028856,Harmony
Batch,1.630580122289262,Harmony
Cluster,2.7061730354091327,Harmony
Batch,1.3588106819827261,Harmony
Cluster,2.335532575004132,Harmony
Batch,1.9082877478203535,Harmony
Cluster,2.843584022597884,Harmony
Batch,1.849864128749415,Harmony
Cluster,2.949717023595271,Harmony
Batch,1.9958034778066525,Harmony
Cluster,1.6143053166704042,Harmony
Batch,1.3360096249665825,Harmony
Cluster,2.5166654116125184,Harmony
Batch,1.4673378774239725,Harmony
Cluster,1.246331839730757,Harmony
Batch,1.3328030232639037,Harmony
Cluster,1.0662656873891965,Harmony
Batch,1.2539952962234477,Harmony
Cluster,1.2001103374640079,Harmony
Batch,1.743438328494697,Harmony
Cluster,1.1780320011786394,Harmony
Batch,1.934728852574222,Harmony
Cluster,1.7594497524364496,Harmony
Batch,1.6552809560784445,Harmony
Cluster,3.2943137801466666,Harmony
Batch,1.9864522315716213,Harmony
Cluster,1.1058817419078475,Harmony
Batch,1.9721265129259637,Harmony
Cluster,1.8429228914702087,Harmony
Batch,1.6904175869377955,Harmony
Cluster,1.2426812973211885,Harmony
Batch,1.9055030530872312,Harmony
Cluster,2.0239291355296585,Harmony
Batch,1.9999564895559139,Harmony
Cluster,1.4022637619204787,Harmony
Batch,1.9350641344338424,Harmony
Cluster,2.113914744368547,Harmony
Batch,1.6524015820430966,Harmony
Cluster,1.0132230455978135,Harmony
Batch,1.6915865410700583,Harmony
Cluster,2.9435276476783723,Harmony
Batch,1.8813835308001798,Harmony
Cluster,2.966737342539506,Harmony
Batch,1.9667960751100806,Harmony
Cluster,3.107395657802306,Harmony
Batch,1.4774525796373987,Harmony
Cluster,1.7798493837657918,Harmony
Batch,1.3803602709247145,Harmony
Cluster,2.1886417178286433,Harmony
Batch,1.6922556220225216,Harmony
Cluster,1.1963308764076814,Harmony
Batch,1.63322479866653,Harmony
Cluster,2.5444267084481895,Harmony
Batch,1.3472220810686593,Harmony
Cluster,2.7043639817685845,Harmony
Batch,1.6867862840664303,Harmony
Cluster,1.4377630510666028,Harmony
Batch,1.960752268445583,Harmony
Cluster,2.0889469553479016,Harmony
Batch,1.6412675099164649,Harmony
Cluster,1.0449834614694515,Harmony
Batch,1.8245532528439152,Harmony
Cluster,1.1456377119792227,Harmony
Batch,1.995427002143537,Harmony
Cluster,1.3931103883730653,Harmony
Batch,1.6574864665334579,Harmony
Cluster,1.5410752246491393,Harmony
Batch,1.2324974222127305,Harmony
Cluster,1.4470230836801392,Harmony
Batch,1.9891815267207387,Harmony
Cluster,1.2307414219511958,Harmony
Batch,1.2706271652332195,Harmony
Cluster,3.3430316504491926,Harmony
Batch,1.9003181720526963,Harmony
Cluster,2.8722500610887063,Harmony
Batch,1.4115621517539556,Harmony
Cluster,1.1048186095601877,Harmony
Batch,1.9894127418603302,Harmony
Cluster,2.819261820236732,Harmony
Batch,1.9995905999117674,Harmony
Cluster,2.24654249602628,Harmony
Batch,1.6602376169034199,Harmony
Cluster,2.2041181505845384,Harmony
Batch,1.912991260609036,Harmony
Cluster,1.6826126485992354,Harmony
Batch,1.3073379269964378,Harmony
Cluster,2.055614387128844,Harmony
Batch,1.4530952047241399,Harmony
Cluster,2.312643916199838,Harmony
Batch,1.3992246994257416,Harmony
Cluster,2.764676317118417,Harmony
Batch,1.9098557310231021,Harmony
Cluster,1.1402894595709971,Harmony
Batch,1.704167142646753,Harmony
Cluster,2.5466029930748753,Harmony
Batch,1.6082249914893358,Harmony
Cluster,1.2661686553512845,Harmony
Batch,1.9782391775573853,Harmony
Cluster,1.3635542125872233,Harmony
Batch,1.7717875039290667,Harmony
Cluster,1.790002934201169,Harmony
Batch,1.8542417527326904,Harmony
Cluster,1.978649773191392,Harmony
Batch,1.9683784085735814,Harmony
Cluster,2.951115120563251,Harmony
Batch,1.790362909049892,Harmony
Cluster,1.1506764223837818,Harmony
Batch,1.6750584873256942,Harmony
Cluster,1.9943830277784835,Harmony
Batch,1.4630844740977995,Harmony
Cluster,1.6956551400069027,Harmony
Batch,1.9264564591796889,Harmony
Cluster,2.1745846302390457,Harmony
Batch,1.9236474187832115,Harmony
Cluster,1.1539878877601213,Harmony
Batch,1.3149887919972867,Harmony
Cluster,1.466993933151519,Harmony
Batch,1.2388125908611778,Harmony
Cluster,1.747170200678605,Harmony
Batch,1.5377219007957588,Harmony
Cluster,2.552099577534935,Harmony
Batch,1.8977491510956555,Harmony
Cluster,1.7480565217033055,Harmony
Batch,1.8858310737729034,Harmony
Cluster,1.3254786194945882,Harmony
Batch,1.5557322310931099,Harmony
Cluster,1.0839602482936939,Harmony
Batch,1.7869230591852463,Harmony
Cluster,1.271935067872907,Harmony
Batch,1.9952354955876037,Harmony
Cluster,1.1729999308616488,Harmony
Batch,1.326521736788509,Harmony
Cluster,1.0845789340304839,Harmony
Batch,1.9998516550430834,Harmony
Cluster,1.0390959048966903,Harmony
Batch,1.5978611869536914,Harmony
Cluster,3.7268079200084543,Harmony
Batch,1.821388044402995,Harmony
Cluster,2.784086039650812,Harmony
Batch,1.871468147134299,Harmony
Cluster,1.8523880992884632,Harmony
Batch,1.7193124340123263,Harmony
Cluster,2.965712322699568,Harmony
Batch,1.7955119414668717,Harmony
Cluster,2.251341262764183,Harmony
Batch,1.4525363118039394,Harmony
Cluster,2.563693510576487,Harmony
Batch,1.4602271856909501,Harmony
Cluster,2.961042324262579,Harmony
Batch,1.3814248054589764,Harmony
Cluster,3.225070158624273,Harmony
Batch,1.904551114167072,Harmony
Cluster,1.1858937725047909,Harmony
Batch,1.6288520874113477,Harmony
Cluster,1.3029470037740236,Harmony
Batch,1.8796218901933248,Harmony
Cluster,2.1331329724632906,Harmony
Batch,1.5550138352173115,Harmony
Cluster,2.217072961048452,Harmony
Batch,1.7009068742157947,Harmony
Cluster,1.1566822583002314,Harmony
Batch,1.9710963246523148,Harmony
Cluster,1.397900998521825,Harmony
Batch,1.7518400244087056,Harmony
Cluster,1.6594806347532458,Harmony
Batch,1.9738409730791888,Harmony
Cluster,2.839887634350998,Harmony
Batch,1.5579012982481026,Harmony
Cluster,1.3225475227595354,Harmony
Batch,1.6890047428337898,Harmony
Cluster,3.1584806478431857,Harmony
Batch,1.9816713411396738,Harmony
Cluster,1.9763742476387667,Harmony
Batch,1.3038854501212724,Harmony
Cluster,3.2564739498357924,Harmony
Batch,1.719780354883747,Harmony
Cluster,2.540249580110793,Harmony
Batch,1.6583891564373408,Harmony
Cluster,2.106164615706033,Harmony
Batch,1.9297397219851022,Harmony
Cluster,1.3834610419758469,Harmony
Batch,1.886659042497159,Harmony
Cluster,2.420986884426056,Harmony
Batch,1.9694573115616232,Harmony
Cluster,1.435353117028355,Harmony
Batch,1.832512486643165,Harmony
Cluster,1.8880216621869697,Harmony
Batch,1.3927857267098374,Harmony
Cluster,1.178497654548208,Harmony
Batch,1.6232541785382693,Harmony
Cluster,3.3292198748030173,Harmony
Batch,1.9818117337939114,Harmony
Cluster,2.401636637748355,Harmony
Batch,1.9999732378726063,Harmony
Cluster,1.028819049559265,Harmony
Batch,1.9527753259765621,Harmony
Cluster,1.4586769178648236,Harmony
Batch,1.4613247494566008,Harmony
Cluster,1.1617874900558,Harmony
Batch,1.8953627925879921,Harmony
Cluster,1.071335958476325,Harmony
Batch,1.7488474669472722,Harmony
Cluster,2.1264155528611663,Harmony
Batch,1.508742658040504,Harmony
Cluster,1.0343810888506972,Harmony
Batch,1.9234674568790333,Harmony
Cluster,1.0828548387643757,Harmony
Batch,1.7473752312020832,Harmony
Cluster,1.1805504659576118,Harmony
Batch,1.3866897899880775,Harmony
Cluster,1.050553410376388,Harmony
Batch,1.6910357160550016,Harmony
Cluster,1.049708728265572,Harmony
Batch,1.8221515004650692,Harmony
Cluster,1.5361570124833646,Harmony
Batch,1.2390304684637532,Harmony
Cluster,2.630962209164512,Harmony
Batch,1.9999980330486569,Harmony
Cluster,2.9125540947456474,Harmony
Batch,1.989558244480854,Harmony
Cluster,2.232741217604294,Harmony
Batch,1.3245813362195524,Harmony
Cluster,3.054745876326908,Harmony
Batch,1.5320989465928,Harmony
Cluster,1.1221128786900183,Harmony
Batch,1.5048008185483663,Harmony
Cluster,1.005466594864097,Harmony
Batch,1.7809570931485785,Harmony
Cluster,1.7367510509165378,Harmony
Batch,1.337931794966167,Harmony
Cluster,1.7739295624399645,Harmony
Batch,1.2489787103289731,Harmony
Cluster,1.8477674367346923,Harmony
Batch,1.696067559980261,Harmony
Cluster,1.1252563757635858,Harmony
Batch,1.9997185864697304,Harmony
Cluster,1.0935470970492043,Harmony
Batch,1.646650842340205,Harmony
Cluster,1.2745233241845646,Harmony
Batch,1.4983651724204643,Harmony
Cluster,2.464068177700284,Harmony
Batch,1.7200594000825418,Harmony
Cluster,1.817585766293734,Harmony
Batch,1.3182254466005032,Harmony
Cluster,2.443344308267217,Harmony
Batch,1.5015751506921675,Harmony
Cluster,1.420867793443233,Harmony
Batch,1.5672352928119047,Harmony
Cluster,1.0104918874147157,Harmony
Batch,1.996699068227032,Harmony
Cluster,1.2171128340063737,Harmony
Batch,1.1484483501286231,Harmony
Cluster,2.0696505593497103,Harmony
Batch,1.8681834646790707,Harmony
Cluster,1.84803564831677,Harmony
Batch,1.9995670659919254,Harmony
Cluster,1.2925613010847528,Harmony
Batch,1.9778947728611267,Harmony
Cluster,1.0794252432350617,Harmony
Batch,1.3205852164909173,Harmony
Cluster,1.0737347610341814,Harmony
Batch,1.9972247302451012,Harmony
Cluster,1.0437776763865454,Harmony
Batch,1.575438786995832,Harmony
Cluster,1.7885213663582102,Harmony
Batch,1.9896184688578673,Harmony
Cluster,2.0913564493924377,Harmony
Batch,1.8182833093749928,Harmony
Cluster,1.2047736571004686,Harmony
Batch,1.5790145577677348,Harmony
Cluster,2.6508762714101843,Harmony
Batch,1.9665860502189771,Harmony
Cluster,1.8674999902952087,Harmony
Batch,1.6770019146283373,Harmony
Cluster,1.9049654672953602,Harmony
Batch,1.9269119763899183,Harmony
Cluster,1.8592364750861448,Harmony
Batch,1.8798238599596875,Harmony
Cluster,1.3728878588510165,Harmony
Batch,1.5701876243945376,Harmony
Cluster,1.2384664671197239,Harmony
Batch,1.8206231780404005,Harmony
Cluster,2.1678612959619237,Harmony
Batch,1.61375714825841,Harmony
Cluster,1.1598637074340958,Harmony
Batch,1.641223838608741,Harmony
Cluster,2.9264214378941875,Harmony
Batch,1.761083176597514,Harmony
Cluster,2.0070249142910277,Harmony
Batch,1.0971229815911334,Harmony
Cluster,2.6002298824989025,Harmony
Batch,1.9687565861024496,Harmony
Cluster,1.7113888957750174,Harmony
Batch,1.9881817466479714,Harmony
Cluster,2.618862559862735,Harmony
Batch,1.8548488618080485,Harmony
