Label,LISI,Method
Batch,1.7543714023470964,JIVE
Cluster,2.6677302656632955,JIVE
Batch,1.7059690786535728,JIVE
Cluster,1.657874393402394,JIVE
Batch,1.2329676936303782,JIVE
Cluster,2.803167412130145,JIVE
Batch,1.3722775745024978,JIVE
Cluster,1.8175495734344422,JIVE
Batch,1.2064761634669703,JIVE
Cluster,2.946820055769928,JIVE
Batch,1.4486988770342855,JIVE
Cluster,1.1271098936771555,JIVE
Batch,1.4457217201187034,JIVE
Cluster,1.012787494219027,JIVE
Batch,1.0038377413535016,JIVE
Cluster,1.0738183629541382,JIVE
Batch,1.3561719369174563,JIVE
Cluster,3.7331864658490614,JIVE
Batch,1.9249562424309876,JIVE
Cluster,2.1999662338723205,JIVE
Batch,1.0138872504196963,JIVE
Cluster,2.0122261102609578,JIVE
Batch,1.9922762142536818,JIVE
Cluster,3.1929977368480347,JIVE
Batch,1.852726382301252,JIVE
Cluster,3.119419570824097,JIVE
Batch,1.854727674743745,JIVE
Cluster,1.370872102878571,JIVE
Batch,1.2750781901118664,JIVE
Cluster,1.0708906891676346,JIVE
Batch,1.5521855925445351,JIVE
Cluster,2.6156652831596983,JIVE
Batch,1.9721048380567723,JIVE
Cluster,2.0481077539486647,JIVE
Batch,1.058575674879123,JIVE
Cluster,1.0500763219990492,JIVE
Batch,1.2218587850743523,JIVE
Cluster,2.130385578750665,JIVE
Batch,1.0154108991823971,JIVE
Cluster,1.7398910680622004,JIVE
Batch,1.1776509409144569,JIVE
Cluster,2.530283268315095,JIVE
Batch,1.0447558699610904,JIVE
Cluster,1.899766576472966,JIVE
Batch,1.126675312545922,JIVE
Cluster,2.602265981364988,JIVE
Batch,1.1259956437337588,JIVE
Cluster,2.6998451753710384,JIVE
Batch,1.5011237116709484,JIVE
Cluster,1.6611306270308526,JIVE
Batch,1.225561294482862,JIVE
Cluster,1.723084300766882,JIVE
Batch,1.0010339879613508,JIVE
Cluster,1.173679763791087,JIVE
Batch,1.0106613112636242,JIVE
Cluster,1.068049026142782,JIVE
Batch,1.016861990158046,JIVE
Cluster,1.1153083442054412,JIVE
Batch,1.005457564737295,JIVE
Cluster,1.4575522473395024,JIVE
Batch,1.0467173975052964,JIVE
Cluster,2.8520680377085412,JIVE
Batch,1.9926333375902554,JIVE
Cluster,2.759160626733346,JIVE
Batch,1.0491312385565166,JIVE
Cluster,1.7436401126305756,JIVE
Batch,1.7372659338504153,JIVE
Cluster,1.8338182474178573,JIVE
Batch,1.2776531511261087,JIVE
Cluster,1.6609457993993337,JIVE
Batch,1.08967671180369,JIVE
Cluster,2.9826423792036576,JIVE
Batch,1.8491516408267852,JIVE
Cluster,1.170182521837681,JIVE
Batch,1.2328602900886376,JIVE
Cluster,2.6856440668516517,JIVE
Batch,1.32447243119894,JIVE
Cluster,1.0115822942786497,JIVE
Batch,1.7552458276994485,JIVE
Cluster,3.2989206837961125,JIVE
Batch,1.1364349092834125,JIVE
Cluster,3.9009615274864355,JIVE
Batch,1.9837434336345299,JIVE
Cluster,2.834994849068662,JIVE
Batch,1.981910588241965,JIVE
Cluster,2.006446114882188,JIVE
Batch,1.94979898803981,JIVE
Cluster,2.3789837575311465,JIVE
