Method,Label,Mean
JIVE,Batch,0.00767542713218117
JIVE,Batch,0.011718694335381478
JIVE,Batch,0.008442907670524651
JIVE,Batch,0.008774077583399077
JIVE,Batch,0.009149318726539459
JIVE,Batch,0.010087872919596109
JIVE,Batch,0.009271171416554683
JIVE,Batch,0.007923385447396273
JIVE,Batch,0.008402683433673359
JIVE,Batch,0.009440849823750399
JIVE,Batch,0.010808842968419564
JIVE,Batch,0.009441160291733188
JIVE,Batch,0.009545765541241561
JIVE,Batch,0.0074460119818514445
JIVE,Batch,0.008631120015404538
JIVE,Batch,0.010562113045703175
JIVE,Batch,0.008093300318686563
JIVE,Batch,0.009730023853623364
JIVE,Batch,0.011772206381196781
JIVE,Batch,0.008492536260135429
JIVE,Cluster,0.4000297254597935
JIVE,Cluster,0.40024733785259753
JIVE,Cluster,0.39986257861577307
JIVE,Cluster,0.39782714619085585
JIVE,Cluster,0.39775429856460703
JIVE,Cluster,0.39980868545704795
JIVE,Cluster,0.3969622804794994
JIVE,Cluster,0.3973741589644298
JIVE,Cluster,0.39751019849877406
JIVE,Cluster,0.3971978912982333
JIVE,Cluster,0.40190823024864036
JIVE,Cluster,0.4001056320476849
JIVE,Cluster,0.3973911383430642
JIVE,Cluster,0.40252680962269277
JIVE,Cluster,0.4005158433377854
JIVE,Cluster,0.40111676186365397
JIVE,Cluster,0.4050057039356633
JIVE,Cluster,0.39744523070501053
JIVE,Cluster,0.3955359453703862
JIVE,Cluster,0.40141058845068484
