Method,Label,Mean
Raw,Batch,0.033039521981752286
Raw,Batch,0.033139574726276905
Raw,Batch,0.03298413912714525
Raw,Batch,0.033014382223299894
Raw,Batch,0.03315013661647127
Raw,Batch,0.032887038469327334
Raw,Batch,0.03290502911826377
Raw,Batch,0.032999065698040266
Raw,Batch,0.03283302215652874
Raw,Batch,0.03295100085944732
Raw,Batch,0.03309844403633227
Raw,Batch,0.03299292903014925
Raw,Batch,0.03292393362786969
Raw,Batch,0.032905567639732
Raw,Batch,0.03292747158668233
Raw,Batch,0.0331254213556455
Raw,Batch,0.03278257397973134
Raw,Batch,0.032976497458424556
Raw,Batch,0.032848928597652906
Raw,Batch,0.03292090644753925
Raw,Cluster,0.047980764452066726
Raw,Cluster,0.048895094994126254
Raw,Cluster,0.047193704718618085
Raw,Cluster,0.04654335691011185
Raw,Cluster,0.04710715420238777
Raw,Cluster,0.04661318864251861
Raw,Cluster,0.047526202548941424
Raw,Cluster,0.048186927278763454
Raw,Cluster,0.04665425914449597
Raw,Cluster,0.048222752271478146
Raw,Cluster,0.04978800690314832
Raw,Cluster,0.04715172710215879
Raw,Cluster,0.04791325288638917
Raw,Cluster,0.04706395236971406
Raw,Cluster,0.04691926727961689
Raw,Cluster,0.049794168561996636
Raw,Cluster,0.046893305456652754
Raw,Cluster,0.047810557900768935
Raw,Cluster,0.048868707208366495
Raw,Cluster,0.04652771593036255
