Label,LISI,Method
Batch,1.050576049993327,Raw
Cluster,1.0746518889221892,Raw
Batch,1.0627453028418794,Raw
Cluster,1.0000001192093038,Raw
Batch,1.0340029980938177,Raw
Cluster,1.0520146391557386,Raw
Batch,1.5589131371428497,Raw
Cluster,1.056017091271332,Raw
Batch,1.0054099734742616,Raw
Cluster,1,Raw
Batch,1.0943234942282358,Raw
Cluster,1.1951496183887986,Raw
Batch,1.2005125909707433,Raw
Cluster,1.00385092989266,Raw
Batch,1.1498799878654422,Raw
Cluster,1.0347627066330167,Raw
Batch,1.1561284320687544,Raw
Cluster,1.0079439153711267,Raw
Batch,1.0301148934224624,Raw
Cluster,1.0734430975330933,Raw
Batch,1.0091244050128472,Raw
Cluster,1.0000001192093038,Raw
Batch,1.3108781086699284,Raw
Cluster,1.0022803115389092,Raw
Batch,1.1791744331406302,Raw
Cluster,1.010685292521076,Raw
Batch,1.0140678050695988,Raw
Cluster,1,Raw
Batch,1.0300133585473104,Raw
Cluster,1.0248496035091323,Raw
Batch,1.0109166707233148,Raw
Cluster,1.0025894733224934,Raw
Batch,1.1839120705387802,Raw
Cluster,1.0420018627307392,Raw
Batch,1.2914775986197544,Raw
Cluster,1.0649278101636566,Raw
Batch,1.0240108905577177,Raw
Cluster,1,Raw
Batch,1.1538348464058752,Raw
Cluster,1.0169429676416213,Raw
Batch,1.2583224516177631,Raw
Cluster,1.0656705465100957,Raw
Batch,1.0184250033044564,Raw
Cluster,1.0012750285519845,Raw
Batch,1.2562539080104462,Raw
Cluster,1.1139449387016291,Raw
Batch,1.0300149799348783,Raw
Cluster,1.0000001192093038,Raw
Batch,1.0026257950757904,Raw
Cluster,1,Raw
Batch,1.0187256923399197,Raw
Cluster,1.0108015774895065,Raw
Batch,1.0474685851278658,Raw
Cluster,1.0235843230877335,Raw
Batch,1.0349659213266524,Raw
Cluster,1,Raw
Batch,1.0910843811100237,Raw
Cluster,1.0878395459759314,Raw
Batch,1.073619686608807,Raw
Cluster,1,Raw
Batch,1.0162730019029378,Raw
Cluster,1.0101830128266773,Raw
Batch,1.016976523124992,Raw
Cluster,1,Raw
Batch,1.2955747063782448,Raw
Cluster,1.0120176472559235,Raw
Batch,1.0816289645218722,Raw
Cluster,1.0017189452667783,Raw
Batch,1.1047433384261034,Raw
Cluster,1.0314212820667148,Raw
Batch,1.1632695810705265,Raw
Cluster,1.0173667784023865,Raw
Batch,1.0417120625133098,Raw
Cluster,1.0689403745948234,Raw
Batch,1.01711931960112,Raw
Cluster,1.0053880415488112,Raw
Batch,1.0761205208848532,Raw
Cluster,1.190189833016098,Raw
Batch,1.0362226927041946,Raw
Cluster,1.0149280887897243,Raw
Batch,1.106060290440639,Raw
Cluster,1.0632406377976005,Raw
Batch,1.1333244674932457,Raw
Cluster,1.018444787270481,Raw
Batch,1.0436537250183024,Raw
Cluster,1,Raw
Batch,1.024477824163885,Raw
Cluster,1.0085429275819366,Raw
Batch,1.0173356510527993,Raw
Cluster,1.0076791859878922,Raw
Batch,1.2260824102080488,Raw
Cluster,1.0298074063683407,Raw
Batch,1.1587306143977996,Raw
Cluster,1,Raw
Batch,1.013671829243237,Raw
Cluster,1.001092672751649,Raw
Batch,1.1772592951190748,Raw
Cluster,1.0352903695483506,Raw
Batch,1.1522704172218425,Raw
Cluster,1.0086014871894455,Raw
Batch,1.0302745763900287,Raw
Cluster,1.0039029675701465,Raw
Batch,1.487617194924721,Raw
Cluster,1.0337429508899603,Raw
Batch,1.0328067180867566,Raw
Cluster,1.014660314914599,Raw
Batch,1.00228210577364,Raw
Cluster,1,Raw
Batch,1.0613113422611276,Raw
Cluster,1.003276325835195,Raw
Batch,1.0029216465779907,Raw
Cluster,1.0000001192093038,Raw
Batch,1.3261664820089545,Raw
Cluster,1.0135257388072065,Raw
Batch,1.043111282128302,Raw
Cluster,1,Raw
Batch,1.0057071155352857,Raw
Cluster,1.3022191888015597,Raw
Batch,1.0271607317191553,Raw
Cluster,1.0117416746888044,Raw
Batch,1.2043205844490326,Raw
Cluster,1.0601260750107513,Raw
Batch,1,Raw
Cluster,1.0098220759627434,Raw
Batch,1.0878205994448258,Raw
Cluster,1.0139437187813916,Raw
Batch,1.0290737705423545,Raw
Cluster,1.0191661824236384,Raw
Batch,1.0808369648806013,Raw
Cluster,1.1002275224824523,Raw
Batch,1.1663256238495838,Raw
Cluster,1.003150433259709,Raw
Batch,1.0372832516228347,Raw
Cluster,1.0000001192093038,Raw
Batch,1.1314285152560013,Raw
Cluster,1.0282881514876083,Raw
Batch,1.0225737145867988,Raw
Cluster,1.0168105957867917,Raw
Batch,1.238537632193329,Raw
Cluster,1.0245226260973685,Raw
Batch,1.005620555872435,Raw
Cluster,1.0076535622327796,Raw
Batch,1.1051931202556373,Raw
Cluster,1.363195398118944,Raw
Batch,1.0405677673444345,Raw
Cluster,1.0017484067894018,Raw
Batch,1.1821563984258032,Raw
Cluster,1.0075554190850036,Raw
Batch,1.0832444166590123,Raw
Cluster,1.003747525910739,Raw
Batch,1.0348384021935735,Raw
Cluster,1.006741706579471,Raw
Batch,1.007465246280731,Raw
Cluster,1.0621544543126393,Raw
Batch,1.236086433499224,Raw
Cluster,1.002784926923339,Raw
Batch,1.1014615715960274,Raw
Cluster,1.0140812560186303,Raw
Batch,1.166432978164832,Raw
Cluster,1.0156712189735624,Raw
Batch,1.0562429889036062,Raw
Cluster,1.0266003115015023,Raw
