Method,Label,Mean
Seurat,Batch,0.0012227968054853472
Seurat,Batch,9.463921061124576e-4
Seurat,Batch,-2.2872631085710043e-4
Seurat,Batch,-1.1021303744982034e-4
Seurat,Batch,-7.513773978896901e-4
Seurat,Batch,4.5643176591581746e-4
Seurat,Batch,0.002409885659238801
Seurat,Batch,4.810828845129463e-4
Seurat,Batch,0.0013151969462633114
Seurat,Batch,0.0015660044320709283
Seurat,Batch,9.023653644990866e-4
Seurat,Batch,2.6580490970543573e-4
Seurat,Batch,0.001134932029871215
Seurat,Batch,7.616134597156923e-4
Seurat,Batch,0.00110909583758783
Seurat,Batch,9.201399622949498e-4
Seurat,Batch,4.297254656319856e-4
Seurat,Batch,-9.04127757723807e-4
Seurat,Batch,9.671891063617e-4
Seurat,Batch,8.870880058370866e-4
Seurat,Cluster,0.037945579173949764
Seurat,Cluster,0.014157210907848312
Seurat,Cluster,0.03648420404368323
Seurat,Cluster,0.041653506850299754
Seurat,Cluster,0.04180508736093529
Seurat,Cluster,0.04342761473806095
Seurat,Cluster,0.03741829017362262
Seurat,Cluster,0.03345083923858712
Seurat,Cluster,0.030572625154673138
Seurat,Cluster,0.030343751088326525
Seurat,Cluster,0.03834739026201745
Seurat,Cluster,0.03598229894570732
Seurat,Cluster,0.03718989061953723
Seurat,Cluster,0.04051176798673632
Seurat,Cluster,0.03569248405095104
Seurat,Cluster,0.03466208954467028
Seurat,Cluster,0.035900588980274886
Seurat,Cluster,0.039747345805779426
Seurat,Cluster,0.04062450780688445
Seurat,Cluster,0.04119874678954683
