Label,LISI,Method
Batch,1.9446617161520117,Seurat
Cluster,1.4019664965490484,Seurat
Batch,1.999544664598042,Seurat
Cluster,1.6973552905507407,Seurat
Batch,1.8427433687780719,Seurat
Cluster,1.500279971490621,Seurat
Batch,1.7652103452336154,Seurat
Cluster,1.5300150732176816,Seurat
Batch,1.950643098181764,Seurat
Cluster,1.82157190772077,Seurat
Batch,1.9998253736393223,Seurat
Cluster,1.4952993169039135,Seurat
Batch,1.8485007485163747,Seurat
Cluster,1.773068748740637,Seurat
Batch,1.9614106741769908,Seurat
Cluster,1.4782326204047982,Seurat
Batch,1.6867396693049554,Seurat
Cluster,1.5872339669183007,Seurat
Batch,1.9987766481631004,Seurat
Cluster,1.9156256383386006,Seurat
Batch,1.9910939538997723,Seurat
Cluster,1.617566583569837,Seurat
Batch,1.6312105668648686,Seurat
Cluster,1.744524615688902,Seurat
Batch,1.9939594277801134,Seurat
Cluster,1.935621707065534,Seurat
Batch,1.8393384781596853,Seurat
Cluster,1.5747964659617446,Seurat
Batch,1.9825227806388115,Seurat
Cluster,1.9367002012084047,Seurat
Batch,1.5372038989176382,Seurat
Cluster,1.200294051980619,Seurat
Batch,1.9969197935535028,Seurat
Cluster,1.847263845161711,Seurat
Batch,1.7095782225139697,Seurat
Cluster,1.8461846576844452,Seurat
Batch,1.9910088895557014,Seurat
Cluster,1.7255308620249907,Seurat
Batch,1.9099175320590391,Seurat
Cluster,1.6847221681433402,Seurat
Batch,1.952030318967619,Seurat
Cluster,1.4475127073373,Seurat
Batch,1.996595941168,Seurat
Cluster,1.4125995413688837,Seurat
Batch,1.9398770725542493,Seurat
Cluster,1.6889691209641486,Seurat
Batch,1.9741292033690492,Seurat
Cluster,1.3947218713897211,Seurat
Batch,1.9747600733301356,Seurat
Cluster,1.3121003834199751,Seurat
Batch,1.8897099202523846,Seurat
Cluster,1.7259256461680144,Seurat
Batch,1.926174682919903,Seurat
Cluster,1.5595820690854496,Seurat
Batch,1.8025739800796758,Seurat
Cluster,1.5768665554499908,Seurat
Batch,1.6557665086428601,Seurat
Cluster,1.496938406890182,Seurat
Batch,1.820514817535129,Seurat
Cluster,1.4185633711267476,Seurat
Batch,1.9903504775572545,Seurat
Cluster,1.8507632948954003,Seurat
Batch,1.890871722116552,Seurat
Cluster,1.5480216062585375,Seurat
Batch,1.8793374896958137,Seurat
Cluster,1.7758671864903943,Seurat
Batch,1.9117623690711893,Seurat
Cluster,1.745407680792484,Seurat
Batch,1.9843385696689233,Seurat
Cluster,1.1962229401142028,Seurat
Batch,1.7517048316692398,Seurat
Cluster,1.350489611080682,Seurat
Batch,1.5899855513451446,Seurat
Cluster,1.3467310997064086,Seurat
Batch,1.6014775556972407,Seurat
Cluster,1.4186874562826233,Seurat
Batch,1.695293936192689,Seurat
Cluster,1.876419141141347,Seurat
Batch,1.98227934554904,Seurat
Cluster,1.6544791052713494,Seurat
Batch,1.8129033928598033,Seurat
Cluster,1.7157365747795903,Seurat
Batch,1.9153559318715399,Seurat
Cluster,1.2001300560806631,Seurat
Batch,1.6625098015666453,Seurat
Cluster,1.5195115657850764,Seurat
Batch,1.923620565712246,Seurat
Cluster,1.899918707809186,Seurat
Batch,1.9861144249750704,Seurat
Cluster,1.2792423950870104,Seurat
Batch,1.961221743470016,Seurat
Cluster,1.296364043691482,Seurat
Batch,1.8381590641757632,Seurat
Cluster,1.9667406827416565,Seurat
Batch,1.9783049586753958,Seurat
Cluster,1.5306047153025326,Seurat
Batch,1.9642923021795964,Seurat
Cluster,1.9968333394628912,Seurat
Batch,1.8502494515396688,Seurat
Cluster,1.6650641156059864,Seurat
Batch,1.794114006071886,Seurat
Cluster,1.6181450588521917,Seurat
Batch,1.9991618332663061,Seurat
Cluster,1.2479210728906434,Seurat
Batch,1.9121962517013735,Seurat
Cluster,1.3509723973886345,Seurat
